1367462,8983,1264704.577580000041053,240010.015149999991991,26700,13,21337,MGNL-QA,ETRURIA ST AND QUEEN ANNE AVE N,0,"(47.64777613200005, -122.35768648299995)", ,NONE
1367463,6280,1284696.377150000073016,249841.593779999995604,24871,13,7362,NE,WELLESLEY WAY NE AND NE 65TH ST,2,"(47.67578119700005, -122.27734295599998)", ,NONE
1367464,15091,1262185.947179999900982,209760.059019999986049,32061,13,55324,DLRD,26TH AVE SW AND SW GENESEE ST,3,"(47.564725432000046, -122.36545934199995)", ,NONE
1367465,18036,1286358.075459999963641,195279.443579999991925,35428,13,81529,SE,53RD AVE S AND GRATTAN PL S,0,"(47.526310927000054, -122.26647477599994)", ,NONE
1367466,8269,1285166.051389999920502,243012.77457000000868,27354,13,25158,NE,49TH AVE NE AND NE 39TH W ST,0,"(47.65708752000006, -122.27491758999997)", ,NONE
1367467,16367,1276456.65950999991037,203705.694599999987986,158942,13,65746,GRDWM,20TH AVE S AND S RAYMOND ST,0,"(47.548894647000054, -122.30719673199997)", ,NONE
1367468,11570,1283350.577980000060052,228217.594780000013998,30220,13,42103,CNTRL,HOWELL PL AND E OLIVE LN,0,"(47.616440434000026, -122.28115354299996)", ,NONE
1367469,10458,1265454.234159999992698,233731.789729999989504,28832,13,35523,MGNL-QA,WARREN AVE N AND WARREN N PL,0,"(47.63060848200007, -122.35414242699994)", ,NONE
1367470,5206,1274869.279799999902025,254023.829430000012508,24395,13,5124,N,ROOSEVELT WAY NE AND NE 80TH ST,1,"(47.686732128000074, -122.31755267399996)", ,CITY
1367471,15605,1279584.965950000099838,207073.44218000001274,33244,13,65252,GRDWM,S FERDINAND ST AND DEAD END 1,0,"(47.55828917000008, -122.29479060899996)", ,NONE
1367472,6916,1288403.622979999985546,247643.315379999985453,26308,13,17545,NE,61ST AVE NE AND NE 57TH ST,0,"(47.669945390000066, -122.26213159199995)", ,NONE
1367473,4941,1285447.332159999990836,255229.899960000009742,37849,13,235358,NE,PAISLEY DR NE AND NE 85TH ST,0,"(47.69058914400006, -122.27470487599999)", ,NONE
1367474,2404,1270422.651439999928698,271404.247749999980442,35692,13,219103,NW,WALLINGFORD AVE N AND N 145TH ST,1,"(47.734134579000056, -122.33698126899998)", ,NONE
1367475,14005,1257008.333600000012666,213840.906380000000354,31823,13,54111,SW,CALIFORNIA AVE SW AND SW HANFORD ST,2,"(47.575626251000074, -122.38676064799995)", ,CITY
1367476,11728,1268275.382059999974445,227312.908960000000661,29558,13,39155,DWNTN,3RD AVE AND LENORA ST,2,"(47.61316683200005, -122.34219270599999)", ,CITY
1367477,3507,1283707.077700000023469,262497.830850000027567,36834,13,228710,N,BARTLETT AVE NE AND NE 113TH ST,0,"(47.71042093700004, -122.28232520799997)", ,NONE
1367478,4357,1257178.311200000112876,257773.122999999992317,37039,13,230725,BLRD,26TH AVE NW AND NW 92ND ST,0,"(47.69605070000006, -122.38967139399995)", ,NONE
1367479,7099,1270754.101040000095963,246984.698029999999562,25515,13,13317,LKUN-NW,MERIDIAN AVE N AND N 53RD ST,3,"(47.66721933800005, -122.33370003199997)", ,NONE
1367480,3082,1280531.254840000066906,265646.102720000024419,36644,13,227210,N,31ST AVE NE AND LAKE CITY WAY NE,1,"(47.71888565000006, -122.29546559099998)", ,NONE
1367481,15773,1270290.262580000096932,206290.10753000000841,33144,13,64506,GRDWM,2ND AVE S AND S DAWSON ST,0,"(47.55565196300006, -122.33236525199999)", ,NONE
1367482,11060,1277594.284860000014305,230794.910620000009658,29352,13,37714,CNTRL-E,21ST AVE E AND E REPUBLICAN ST,0,"(47.62320556000003, -122.30468811499998)", ,NONE
1367483,8850,1271371.612979999976233,240768.850600000005215,27285,13,23739,LKUN,SUNNYSIDE AVE N AND DEAD END 1,0,"(47.65021488300005, -122.33070352299995)", ,NONE
1367484,9946,1274418.141240000026301,235977.720490000006976,28256,13,30329,E,11TH AVE E AND E NEWTON ST,0,"(47.63724433300007, -122.31797058299998)", ,NONE
1367485,17891,1255167.85257999994792,196058.318460000009509,34786,13,75523,SW,FAUNTLEROY WAY SW AND SW CLOVERDALE ST,2,"(47.52678336500003, -122.39275578799999)", ,HALFPED
1367486,2813,1273004.83921999996528,268007.002570000011474,35962,13,220718,NW,3RD AVE NE AND NE 133RD ST,0,"(47.72496068800007, -122.32622215699996)", ,NONE
1367487,8517,1267960.127790000056848,242262.350000000005821,26866,13,22311,LKUN,WOODLAND PARK AVE N AND N 39TH ST,0,"(47.65412569700004, -122.34466079399999)", ,NONE
